{SIL} {SIL}
<UNK> <UNK>
{NOISE} {NOISE}
{COUGH} {COUGH}
{BREATH} {BREATH}
见猎心喜 J IAN4 L IE4 X IN1 X I3
齐齐哈尔 Q I2 Q I2 H A1 EE ER3
人口贩运 R EN2 K OU3 F AN4 VV VN4
有眼无珠 II IU2 II IAN3 UU U2 ZH U1
风吹草动 F ENG1 CH UI1 C AO3 D ONG4
西方文化 X I1 F ANG1 UU UN2 H UA4
时至今日 SH IX2 ZH IX4 J IN1 R IZ4
网络设备 UU UANG3 L UO4 SH E4 B EI4
血栓形成 X VE4 SH UAN1 X ING2 CH ENG2
中国时报 ZH ONG1 G UO2 SH IX2 B AO4
忸忸怩怩 N IU3 N IU3 N I2 N I2
意大利人 II I4 D A4 L I4 R EN2
插科打诨 CH A1 K E1 D A3 H UN4
危地马拉 UU UI1 D I4 M A3 L A1
离乡背井 L I2 X IANG1 B EI4 J ING3
义正词严 II I4 ZH ENG4 C IY2 II IAN2
语气助词 VV V3 Q I4 ZH U4 C IY2
思前想后 S IY1 Q IAN2 X IANG3 H OU4
病毒营销 B ING4 D U2 II ING2 X IAO1
清华大学 Q ING1 H UA2 D A4 X VE2
顺序排列 SH UN4 X V4 P AI2 L IE4
如虎添翼 R U2 H U3 T IAN1 II I4
怀恨在心 H UAI2 H EN4 Z AI4 X IN1
全神贯注 Q VAN2 SH EN2 G UAN4 ZH U4
万紫千红 UU UAN4 Z IY3 Q IAN1 H ONG2
惨无人道 C AN3 UU U2 R EN2 D AO4
所作所为 S UO3 Z UO4 S UO3 UU UI2
中国书法 ZH ONG1 G UO2 SH U1 F A3
杜伊斯堡 D U4 II I1 S IY1 B AO3
盖棺论定 G AI4 G UAN1 L UN4 D ING4
体育之窗 T I3 VV V4 ZH IX1 CH UANG1
如鱼得水 R U2 VV V2 D E2 SH UI3
显而易见 X IAN3 EE ER2 II I4 J IAN4
临汾地区 L IN2 F EN2 D I4 Q V1
颠倒黑白 D IAN1 D AO3 H EI1 B AI2
固若金汤 G U4 R UO4 J IN1 T ANG1
奉子成婚 F ENG4 Z IY3 CH ENG2 H UN1
过桥贷款 G UO4 Q IAO2 D AI4 K UAN3
数典忘祖 SH U3 D IAN3 UU UANG4 Z U3
蓝色妖姬 L AN2 S E4 II IAO1 J I1
研究机构 II IAN2 J IU1 J I1 G OU4
德智体美 D E2 ZH IX4 T I3 M EI3
在校园内 Z AI4 X IAO4 VV VAN2 N EI4
有勇无谋 II IU3 II IONG3 UU U2 M OU2
幕后花絮 M U4 H OU4 H UA1 X V4
购物广场 G OU4 UU U4 G UANG3 CH ANG3
恶贯满盈 EE E4 G UAN4 M AN3 II ING2
言简意赅 II IAN2 J IAN3 II I4 G AI1
肝脑涂地 G AN1 N AO3 T U2 D I4
电视广播 D IAN4 SH IX4 G UANG3 B O1
中子俘获 ZH ONG1 Z IY3 F U2 H UO4
好逸恶劳 H AO4 II I4 UU U4 L AO2
故态复萌 G U4 T AI4 F U4 M ENG2
魂牵梦绕 H UN2 Q IAN1 M ENG4 R AO4
湛江地区 ZH AN4 J IANG1 D I4 Q V1
巴山蜀水 B A1 SH AN1 SH U3 SH UI3
异曲同工 II I4 Q V3 T ONG2 G ONG1
判若云泥 P AN4 R UO4 VV VN2 N I2
风流云散 F ENG1 L IU2 VV VN2 S AN4
教育部长 J IAO4 VV V4 B U4 ZH ANG3
西奈半岛 X I1 N AI4 B AN4 D AO3
加里曼丹 J IA1 L I3 M AN4 D AN1
相对地址 X IANG1 D UI4 D I4 ZH IX3
踏破门槛 T A1 P O4 M EN2 K AN3
唱空城计 CH ANG4 K ONG1 CH ENG2 J I4
饶有兴趣 R AO2 II IU3 X ING4 Q V4
下里巴人 X IA4 L I3 B A1 R EN2
孔融让梨 K ONG3 R ONG2 R ANG4 L I2
转变过程 ZH UAN3 B IAN4 G UO4 CH ENG2
自成一家 Z IY4 CH ENG2 II I4 J IA1
穆巴拉克 M U4 B A1 L A1 K E4
泊松分布 B O2 S ONG1 F EN1 B U4
援助之手 VV VAN2 ZH U4 ZH IX1 SH OU3
单反相机 D AN1 F AN3 X IANG4 J I1
程序设计 CH ENG2 X V4 SH E4 J I4
晚婚晚育 UU UAN3 H UN1 UU UAN3 VV V4
娓娓动听 UU UI3 UU UI3 D ONG4 T ING1
并行计算 B ING4 X ING2 J I4 S UAN4
厚此薄彼 H OU4 C IY3 B O2 B I3
拉开序幕 L A1 K AI1 X V4 M U4
外国媒体 UU UAI4 G UO2 M EI2 T I3
快快乐乐 K UAI4 K UAI4 L E4 L E4
昆士兰州 K UN1 SH IX4 L AN2 ZH OU1
炼金术士 L IAN4 J IN1 SH U4 SH IX4
中央集权 ZH ONG1 II IANG1 J I2 Q VAN2
公共设施 G ONG1 G ONG4 SH E4 SH IX1
体感温度 T I3 G AN3 UU UN1 D U4
加密后的 J IA1 M I4 H OU4 D E5
大义灭亲 D A4 II I4 M IE4 Q IN1
张口结舌 ZH ANG1 K OU3 J IE2 SH E2
知名人士 ZH IX1 M ING2 R EN2 SH IX4
高潮迭起 G AO1 CH AO2 D IE2 Q I3
生化武器 SH ENG1 H UA4 UU U3 Q I4
精疲力尽 J ING1 P I2 L I4 J IN4
海水淡化 H AI3 SH UI3 D AN4 H UA4
英明果断 II ING1 M ING2 G UO3 D UAN4
拉丁文字 L A1 D ING1 UU UN2 Z IY4
福田康夫 F U2 T IAN2 K ANG1 F U1
肌肉发达 J I1 R OU4 F A1 D A2
多姿多彩 D UO1 Z IY1 D UO1 C AI3
自报家门 Z IY4 B AO4 J IA1 M EN2
前赴后继 Q IAN2 F U4 H OU4 J I4
用尽心机 II IONG4 J IN4 X IN1 J I1
北京大学 B EI3 J ING1 D A4 X VE2
收支相抵 SH OU1 ZH IX1 X IANG1 D I3
青山湖区 Q ING1 SH AN1 H U2 Q V1
网际网路 UU UANG3 J I4 UU UANG3 L U4
赫尔辛基 H E4 EE ER3 X IN1 J I1
对答如流 D UI4 D A2 R U2 L IU2
链式反应 L IAN4 SH IX4 F AN3 II ING4
开国元勋 K AI1 G UO2 VV VAN2 X VN1
标准状况 B IAO1 ZH UN3 ZH UANG4 K UANG4
现金流量 X IAN4 J IN1 L IU2 L IANG4
大张旗鼓 D A4 ZH ANG1 Q I2 G U3
学术自由 X VE2 SH U4 Z IY4 II IU2
莫桑比克 M O4 S ANG1 B I3 K E4
丰功伟绩 F ENG1 G ONG1 UU UI3 J I4
徒劳无功 T U2 L AO2 UU U2 G ONG1
民意测验 M IN2 II I4 C E4 II IAN4
太子河区 T AI4 Z IY3 H E2 Q V1
有精神病 II IU3 J ING1 SH EN2 B ING4
破门而入 P O4 M EN2 EE ER2 R U4
晚期癌症 UU UAN3 Q I1 AA AI2 ZH ENG4
复合材料 F U4 H E2 C AI2 L IAO4
老于世故 L AO3 VV V2 SH IX4 G U4
非洲联盟 F EI1 ZH OU1 L IAN2 M ENG2
畏罪自杀 UU UI4 Z UI4 Z IY4 SH A1
振聋发聩 ZH EN4 L ONG2 F A1 K UI4
多快好省 D UO1 K UAI4 H AO2 SH ENG3
从未有过 C ONG2 UU UI4 II IU3 G UO4
虎头虎脑 H U3 T OU2 H U2 N AO3
叫苦连天 J IAO4 K U3 L IAN2 T IAN1
牛顿力学 N IU2 D UN4 L I4 X VE2
风尘仆仆 F ENG1 CH EN2 P U2 P U2
伊于胡底 II I1 VV V2 H U2 D I3
气定神闲 Q I4 D ING4 SH EN2 X IAN2
单方制剂 D AN1 F ANG1 ZH IX4 J I4
里应外合 L I3 II ING4 UU UAI4 H E2
额尔古纳 EE E2 EE ER3 G U3 N A4
自怨自艾 Z IY4 VV VAN4 Z IY4 II I4
莎拉公主 SH A1 L A1 G ONG1 ZH U3
帝国大厦 D I4 G UO2 D A4 SH A4
以讹传讹 II I3 EE E2 CH UAN2 EE E2
心里有谱 X IN1 L I3 II IU3 P U3
扎尔达里 Z A1 EE ER3 D A2 L I3
家破人亡 J IA1 P O4 R EN2 UU UANG2
声嘶力竭 SH ENG1 S IY1 L I4 J IE2
德累斯顿 D E2 L EI4 S IY1 D UN4
死灰复燃 S IY3 H UI1 F U4 R AN2
火树银花 H UO3 SH U4 II IN2 H UA1
正镶白旗 ZH ENG4 X IANG1 B AI2 Q I2
燃料循环 R AN2 L IAO4 X VN2 H UAN2
超级强国 CH AO1 J I2 Q IANG2 G UO2
车轱辘话 CH E1 G U1 L U5 H UA4
言之无物 II IAN2 ZH IX1 UU U2 UU U4
封山育林 F ENG1 SH AN1 VV V4 L IN2
舒一口气 SH U1 II I1 K OU3 Q I4
倒打一耙 D AO4 D A3 II I1 P A2
无论如何 UU U2 L UN4 R U2 H E2
垂死挣扎 CH UI2 S IY3 ZH ENG1 ZH A2
人民政府 R EN2 M IN2 ZH ENG4 F U3
熬更守夜 AA AO2 G ENG1 SH OU3 II IE4
如胶似漆 R U2 J IAO1 S IY4 Q I1
闻鸡起舞 UU UN2 J I1 Q I3 UU U3
查尔斯顿 CH A2 EE ER3 S IY1 D UN4
俯首帖耳 F U3 SH OU3 T IE1 EE ER3
水浒后传 SH UI3 H U3 H OU4 ZH UAN4
寓意深远 VV V4 II I4 SH EN1 VV VAN3
马兜铃科 M A3 D OU1 L ING2 K E1
懒得搭理 L AN3 D E5 D A1 L I3
同工同酬 T ONG2 G ONG1 T ONG2 CH OU2
穷凶极恶 Q IONG2 X IONG1 J I2 EE E4
色厉内荏 S E4 L I4 N EI4 R EN3
蠢蠢欲动 CH UN3 CH UN3 VV V4 D ONG4
尽力而为 J IN4 L I4 EE ER2 UU UI2
平顶山市 P ING2 D ING3 SH AN1 SH IX4
挖掘机械 UU UA1 J VE2 J I1 X IE4
超级市场 CH AO1 J I2 SH IX4 CH ANG3
马来西亚 M A3 L AI2 X I1 II IA4
赤胆忠心 CH IX4 D AN3 ZH ONG1 X IN1
中山大学 ZH ONG1 SH AN1 D A4 X VE2
物质享受 UU U4 ZH IX4 X IANG3 SH OU4
奇货可居 Q I2 H UO4 K E3 J V1
城市规划 CH ENG2 SH IX4 G UI1 H UA4
造谣生事 Z AO4 II IAO2 SH ENG1 SH IX4
经验主义 J ING1 II IAN4 ZH U3 II I4
呼图壁县 H U1 T U2 B I4 X IAN4
网络语音 UU UANG3 L UO4 VV V3 II IN1
紧凑型车 J IN3 C OU4 X ING2 CH E1
饱食终日 B AO3 SH IX2 ZH ONG1 R IZ4
政治改革 ZH ENG4 ZH IX4 G AI3 G E2
阳奉阴违 II IANG2 F ENG4 II IN1 UU UI2
天寒地冻 T IAN1 H AN2 D I4 D ONG4
光芒四射 G UANG1 M ANG2 S IY4 SH E4
几内亚湾 J I3 N EI4 II IA4 UU UAN1
社会保险 SH E4 H UI4 B AO3 X IAN3
首脑会议 SH OU3 N AO3 H UI4 II I4
基因工程 J I1 II IN1 G ONG1 CH ENG2
打成平手 D A3 CH ENG2 P ING2 SH OU3
打心眼里 D A3 X IN1 II IAN3 L I5
地理学家 D I4 L I3 X VE2 J IA1
绕梁三日 R AO4 L IANG2 S AN1 R IZ4
泰晤士河 T AI4 UU U4 SH IX4 H E2
音响设备 II IN1 X IANG3 SH E4 B EI4
骨肉相残 G U3 R OU4 X IANG1 C AN2
横断山脉 H ENG2 D UAN4 SH AN1 M AI4
运载火箭 VV VN4 Z AI4 H UO3 J IAN4
半推半就 B AN4 T UI1 B AN4 J IU4
阿弥陀佛 EE E1 M I2 T UO2 F O2
环球时报 H UAN2 Q IU2 SH IX2 B AO4
反目成仇 F AN3 M U4 CH ENG2 CH OU2
南阳地区 N AN2 II IANG2 D I4 Q V1
头痛医头 T OU2 T ONG4 II I1 T OU2
光明磊落 G UANG1 M ING2 L EI3 L UO4
太空行走 T AI4 K ONG1 X ING2 Z OU3
总体上说 Z ONG3 T I3 SH ANG4 SH UO1
设计程序 SH E4 J I4 CH ENG2 X V4
奇谈怪论 Q I2 T AN2 G UAI4 L UN4
义正辞严 II I4 ZH ENG4 C IY2 II IAN2
直接了当 ZH IX2 J IE1 L IAO3 D ANG4
基本建设 J I1 B EN3 J IAN4 SH E4
直上云霄 ZH IX2 SH ANG4 VV VN2 X IAO1
普通中学 P U3 T ONG1 ZH ONG1 X VE2
中山公园 ZH ONG1 SH AN1 G ONG1 VV VAN2
虚度光阴 X V1 D U4 G UANG1 II IN1
国计民生 G UO2 J I4 M IN2 SH ENG1
计时炸弹 J I4 SH IX2 ZH A4 D AN4
步履维艰 B U4 L V3 UU UI2 J IAN1
特种警察 T E4 ZH ONG3 J ING3 CH A2
萨尔茨堡 S A4 EE ER3 C IY2 B AO3
风化作用 F ENG1 H UA4 Z UO4 II IONG4
天经地义 T IAN1 J ING1 D I4 II I4
同室操戈 T ONG2 SH IX4 C AO1 G E1
山西航空 SH AN1 X I1 H ANG2 K ONG1
悬崖勒马 X VAN2 II IA2 L E4 M A3
科恰班巴 K E1 Q IA4 B AN1 B A1
雄心勃勃 X IONG2 X IN1 B O2 B O2
浑水摸鱼 H UN2 SH UI3 M O1 VV V2
背水一战 B EI4 SH UI3 II I1 ZH AN4
口碑流传 K OU3 B EI1 L IU2 CH UAN2
科学技术 K E1 X VE2 J I4 SH U4
应有尽有 II ING1 II IU3 J IN4 II IU3
中饱私囊 ZH ONG1 B AO3 S IY1 N ANG2
狼吞虎咽 L ANG2 T UN1 H U3 II IAN4
真心实意 ZH EN1 X IN1 SH IX2 II I4
热胀冷缩 R E4 ZH ANG4 L ENG3 S UO1
亲密无间 Q IN1 M I4 UU U2 J IAN1
生命起源 SH ENG1 M ING4 Q I3 VV VAN2
声名狼藉 SH ENG1 M ING2 L ANG2 J I2
物美价廉 UU U4 M EI3 J IA4 L IAN2
网络科技 UU UANG3 L UO4 K E1 J I4
公平竞争 G ONG1 P ING2 J ING4 ZH ENG1
称心如意 CH EN4 X IN1 R U2 II I4
纳粹分子 N A4 C UI4 F EN4 Z IY3
受夹板气 SH OU4 J IA1 B AN3 Q I4
弗雷斯特 F U2 L EI2 S IY1 T E4
跌打损伤 D IE1 D A3 S UN3 SH ANG1
老神在在 L AO3 SH EN2 Z AI4 Z AI4
空气调节 K ONG1 Q I4 T IAO2 J IE2
打道回府 D A3 D AO4 H UI2 F U3
付款条件 F U4 K UAN3 T IAO2 J IAN4
长点心眼 ZH ANG3 D IAN3 X IN1 II IAN3
柯尔克孜 K E1 EE ER3 K E4 Z IY1
浪迹天涯 L ANG4 J I4 T IAN1 II IA2
寸步难行 C UN4 B U4 N AN2 X ING2
中规中矩 ZH ONG4 G UI1 ZH ONG4 J V3
东汉末年 D ONG1 H AN4 M O4 N IAN2
单方决定 D AN1 F ANG1 J VE2 D ING4
胸有成竹 X IONG1 II IU3 CH ENG2 ZH U2
空中飘浮 K ONG1 ZH ONG1 P IAO1 F U2
躲躲闪闪 D UO3 D UO3 SH AN3 SH AN3
千头万绪 Q IAN1 T OU2 UU UAN4 X V4
生产企业 SH ENG1 CH AN3 Q I3 II IE4
事半功倍 SH IX4 B AN4 G ONG1 B EI4
玩忽职守 UU UAN2 H U1 ZH IX2 SH OU3
十之八九 SH IX2 ZH IX1 B A1 J IU3
争先恐后 ZH ENG1 X IAN1 K ONG3 H OU4
急功近利 J I2 G ONG1 J IN4 L I4
问心无愧 UU UN4 X IN1 UU U2 K UI4
精简开支 J ING1 J IAN3 K AI1 ZH IX1
娱乐中心 VV V2 L E4 ZH ONG1 X IN1
后继无人 H OU4 J I4 UU U2 R EN2
大放异彩 D A4 F ANG4 II I4 C AI3
购物大厦 G OU4 UU U4 D A4 SH A4
力争上游 L I4 ZH ENG1 SH ANG4 II IU2
以飨读者 II I3 X IANG3 D U2 ZH E3
有为有守 II IU3 UU UI2 II IU3 SH OU3
主管机关 ZH U3 G UAN3 J I1 G UAN1
硬质合金 II ING4 ZH IX4 H E2 J IN1
拖家带口 T UO1 J IA1 D AI4 K OU3
泌尿系统 M I4 N IAO4 X I4 T ONG3
管理学院 G UAN3 L I3 X VE2 VV VAN4
名义价值 M ING2 II I4 J IA4 ZH IX2
国际协会 G UO2 J I4 X IE2 H UI4
科右前旗 K E1 II IU4 Q IAN2 Q I2
胡椒喷雾 H U2 J IAO1 P EN1 UU U4
格罗德诺 G E2 L UO2 D E2 N UO4
LOGO L OU1 G OU1
微乎其微 UU UI1 H U1 Q I2 UU UI1
有情有义 II IU3 Q ING2 II IU3 II I4
主动免疫 ZH U3 D ONG4 M IAN3 II I4
替罪羔羊 T I4 Z UI4 G AO1 II IANG2
无性繁殖 UU U2 X ING4 F AN2 ZH IX2
应激反应 II ING4 J I1 F AN3 II ING4
破镜重圆 P O4 J ING4 CH ONG2 VV VAN2
另行通知 L ING4 X ING2 T ONG1 ZH IX1
嚣张跋扈 X IAO1 ZH ANG1 B A2 H U4
好吃懒做 H AO4 CH IX1 L AN3 Z UO4
苦心孤诣 K U3 X IN1 G U1 II I4
克孜勒苏 K E4 Z IY1 L E4 S U1
多劳多得 D UO1 L AO2 D UO1 D E2
暴露无遗 B AO4 L U4 UU U2 II I2
伯克希尔 B O2 K E4 X I1 EE ER3
僧多粥少 S ENG1 D UO1 ZH OU1 SH AO3
轻举妄动 Q ING1 J V3 UU UANG4 D ONG4
共享计划 G ONG4 X IANG3 J I4 H UA4
浮游生物 F U2 II IU2 SH ENG1 UU U4
岁岁平安 S UI4 S UI4 P ING2 AA AN1
创投基金 CH UANG4 T OU2 J I1 J IN1
回光返照 H UI2 G UANG1 F AN3 ZH AO4
取消禁令 Q V3 X IAO1 J IN4 L ING4
非处方药 F EI1 CH U3 F ANG1 II IAO4
表现自己 B IAO3 X IAN4 Z IY4 J I3
疱疹病毒 P AO4 ZH EN3 B ING4 D U2
脱离苦海 T UO1 L I2 K U3 H AI3
呋喃西林 F U1 N AN2 X I1 L IN2
中式英语 ZH ONG1 SH IX4 II ING1 VV V3
龙争虎斗 L ONG2 ZH ENG1 H U3 D OU4
人民币元 R EN2 M IN2 B I4 VV VAN2
金融信用 J IN1 R ONG2 X IN4 II IONG4
以礼相待 II I3 L I3 X IANG1 D AI4
咬牙切齿 II IAO3 II IA2 Q IE4 CH IX3
意大利语 II I4 D A4 L I4 VV V3
同床共枕 T ONG2 CH UANG2 G ONG4 ZH EN3
戒备森严 J IE4 B EI4 S EN1 II IAN2
共产主义 G ONG4 CH AN3 ZH U3 II I4
非亲非故 F EI1 Q IN1 F EI1 G U4
新几内亚 X IN1 J I3 N EI4 II IA4
先到先得 X IAN1 D AO4 X IAN1 D E2
崭露头角 ZH AN3 L U4 T OU2 J IAO3
东条英机 D ONG1 T IAO2 II ING1 J I1
音乐电视 II IN1 VV VE4 D IAN4 SH IX4
布朗运动 B U4 L ANG3 VV VN4 D ONG4
战战栗栗 ZH AN4 ZH AN4 L I4 L I4
似懂非懂 S IY4 D ONG3 F EI1 D ONG3
康涅狄格 K ANG1 N IE4 D I2 G E2
无动于衷 UU U2 D ONG4 VV V2 ZH ONG1
尽善尽美 J IN4 SH AN4 J IN4 M EI3
劈头盖脸 P I1 T OU2 G AI4 L IAN3
沙滩排球 SH A1 T AN1 P AI2 Q IU2
行使职权 X ING2 SH IX3 ZH IX2 Q VAN2
主打品牌 ZH U3 D A3 P IN3 P AI2
科学管理 K E1 X VE2 G UAN3 L I3
加大力度 J IA1 D A4 L I4 D U4
农民阶级 N ONG2 M IN2 J IE1 J I2
屁颠屁颠 P I4 D IAN1 P I4 D IAN1
谈何容易 T AN2 H E2 R ONG2 II I4
陶冶情操 T AO2 II IE3 Q ING2 C AO1
见异思迁 J IAN4 II I4 S IY1 Q IAN1
骁勇善战 X IAO1 II IONG3 SH AN4 ZH AN4
货真价实 H UO4 ZH EN1 J IA4 SH IX2
映入眼帘 II ING4 R U4 II IAN3 L IAN2
美国东岸 M EI3 G UO2 D ONG1 AA AN4
密尔沃基 M I4 EE ER3 UU UO4 J I1
横眉竖眼 H ENG2 M EI2 SH U4 II IAN3
未可厚非 UU UI4 K E3 H OU4 F EI1
梅河口市 M EI2 H E2 K OU3 SH IX4
优柔寡断 II IU1 R OU2 G UA3 D UAN4
聊胜于无 L IAO2 SH ENG4 VV V2 UU U2
成语接龙 CH ENG2 VV V3 J IE1 L ONG2
普林斯顿 P U3 L IN2 S IY1 D UN4
经验丰富 J ING1 II IAN4 F ENG1 F U4
人浮于事 R EN2 F U2 VV V2 SH IX4
威斯康辛 UU UI1 S IY1 K ANG1 X IN1
加重语气 J IA1 ZH ONG4 VV V3 Q I4
人之常情 R EN2 ZH IX1 CH ANG2 Q ING2
文人相轻 UU UN2 R EN2 X IANG1 Q ING1
暮色苍茫 M U4 S E4 C ANG1 M ANG2
敌众我寡 D I2 ZH ONG4 UU UO3 G UA3
永久和平 II IONG3 J IU3 H E2 P ING2
改良主义 G AI3 L IANG2 ZH U3 II I4
乌鲁木齐 UU U1 L U3 M U4 Q I2
紧密相联 J IN3 M I4 X IANG1 L IAN2
高瞻远瞩 G AO1 ZH AN1 VV VAN3 ZH U3
协同作用 X IE2 T ONG2 Z UO4 II IONG4
烛光集会 ZH U2 G UANG1 J I2 H UI4
丽水地区 L I2 SH UI3 D I4 Q V1
自顶向下 Z IY4 D ING3 X IANG4 X IA4
利国利民 L I4 G UO2 L I4 M IN2
招财进宝 ZH AO1 C AI2 J IN4 B AO3
扩散周知 K UO4 S AN4 ZH OU1 ZH IX1
民间传说 M IN2 J IAN1 CH UAN2 SH UO1
饱餐一顿 B AO3 C AN1 II I1 D UN4
自由落体 Z IY4 II IU2 L UO4 T I3
英勇牺牲 II ING1 II IONG3 X I1 SH ENG1
展翅高飞 ZH AN3 CH IX4 G AO1 F EI1
兵强马壮 B ING1 Q IANG2 M A3 ZH UANG4
公共开支 G ONG1 G ONG4 K AI1 ZH IX1
有生力量 II IU3 SH ENG1 L I4 L IANG4
应收帐款 II ING1 SH OU1 ZH ANG4 K UAN3
中国制造 ZH ONG1 G UO2 ZH IX4 Z AO4
别无选择 B IE2 UU U2 X VAN3 Z E2
千疮百孔 Q IAN1 CH UANG1 B AI3 K ONG3
刨根问底 P AO2 G EN1 UU UN4 D I3
恢复名誉 H UI1 F U4 M ING2 VV V4
温馨提示 UU UN1 X IN1 T I2 SH IX4
分权制衡 F EN1 Q VAN2 ZH IX4 H ENG2
刻苦学习 K E4 K U3 X VE2 X I2
凶神恶煞 X IONG1 SH EN2 EE E4 SH A4
芝麻小事 ZH IX1 M A5 X IAO3 SH IX4
贩卖人口 F AN4 M AI4 R EN2 K OU3
国际商会 G UO2 J I4 SH ANG1 H UI4
电气工程 D IAN4 Q I4 G ONG1 CH ENG2
震惊中外 ZH EN4 J ING1 ZH ONG1 UU UAI4
芙蓉出水 F U2 R ONG2 CH U1 SH UI3
国营企业 G UO2 II ING2 Q I3 II IE4
悔过自新 H UI3 G UO4 Z IY4 X IN1
有攻击性 II IU3 G ONG1 J I1 X ING4
期期艾艾 Q I1 Q I1 AA AI4 AA AI4
药食同源 II IAO4 SH IX2 T ONG2 VV VAN2
出生日期 CH U1 SH ENG1 R IZ4 Q I1
在天之灵 Z AI4 T IAN1 ZH IX1 L ING2
谈情说爱 T AN2 Q ING2 SH UO1 AA AI4
分类理论 F EN1 L EI4 L I3 L UN4
居高临下 J V1 G AO1 L IN2 X IA4
再接再砺 Z AI4 J IE1 Z AI4 L I4
网络管理 UU UANG3 L UO4 G UAN3 L I3
任人唯贤 R EN4 R EN2 UU UI2 X IAN2
伤天害理 SH ANG1 T IAN1 H AI4 L I3
以债养债 II I3 ZH AI4 II IANG3 ZH AI4
晴空万里 Q ING2 K ONG1 UU UAN4 L I3
纽约时报 N IU3 VV VE1 SH IX2 B AO4
无锡新区 UU U2 X I1 X IN1 Q V1
积分变换 J I1 F EN1 B IAN4 H UAN4
放声大哭 F ANG4 SH ENG1 D A4 K U1
作业系统 Z UO4 II IE4 X I4 T ONG3
价值工程 J IA4 ZH IX2 G ONG1 CH ENG2
光放大器 G UANG1 F ANG4 D A4 Q I4
达米拉诺 D A2 M I3 L A1 N UO4
逍遥自在 X IAO1 II IAO2 Z IY4 Z AI5
生活质量 SH ENG1 H UO2 ZH IX4 L IANG4
刑事法院 X ING2 SH IX4 F A3 VV VAN4
亚当斯密 II IA4 D ANG1 S IY1 M I4
钩心斗角 G OU1 X IN1 D OU4 J IAO3
主题演讲 ZH U3 T I3 II IAN3 J IANG3
ROOT R U4 T
醉翁亭记 Z UI4 UU UENG1 T ING2 J I4
认真学习 R EN4 ZH EN1 X VE2 X I2
镰仓幕府 L IAN2 C ANG1 M U4 F U3
从从容容 C ONG2 C ONG2 R ONG2 R ONG2
宣布破产 X VAN1 B U4 P O4 CH AN3
拖泥带水 T UO1 N I2 D AI4 SH UI3
生理盐水 SH ENG1 L I3 II IAN2 SH UI3
大大咧咧 D A4 D A4 L IE1 L IE1
智能手机 ZH IX4 N ENG2 SH OU3 J I1
洛克希德 L UO4 K E4 X I1 D E2
满嘴喷粪 M AN3 Z UI3 P EN1 F EN4
为非作歹 UU UI2 F EI1 Z UO4 D AI3
近墨者黑 J IN4 M O4 ZH E3 H EI1
海纳百川 H AI3 N A4 B AI3 CH UAN1
与时俱进 VV V3 SH IX2 J V4 J IN4
生吞活剥 SH ENG1 T UN1 H UO2 B O1
滚珠轴承 G UN3 ZH U1 ZH OU2 CH ENG2
辛辛苦苦 X IN1 X IN1 K U3 K U3
当断即断 D ANG1 D UAN4 J I2 D UAN4
事过境迁 SH IX4 G UO4 J ING4 Q IAN1
破竹之势 P O4 ZH U2 ZH IX1 SH IX4
齐人之福 Q I2 R EN2 ZH IX1 F U2
互联网络 H U4 L IAN2 UU UANG3 L UO4
助纣为虐 ZH U4 ZH OU4 UU UI2 N VE4
受益匪浅 SH OU4 II I4 F EI3 Q IAN3
磨嘴皮子 M O2 Z UI3 P I2 Z IY5
公共团体 G ONG1 G ONG4 T UAN2 T I3
运算法则 VV VN4 S UAN4 F A3 Z E2
金属外壳 J IN1 SH U3 UU UAI4 K E2
平分秋色 P ING2 F EN1 Q IU1 S E4
在这期间 Z AI4 ZH E4 Q I1 J IAN1
菲尔普斯 F EI1 EE ER3 P U3 S IY1
酒色财气 J IU3 S E4 C AI2 Q I4
逍遥法外 X IAO1 II IAO2 F A3 UU UAI4
广州日报 G UANG3 ZH OU1 R IZ4 B AO4
切斯特县 Q IE1 S IY1 T E4 X IAN4
扑朔迷离 P U1 SH UO4 M I2 L I2
唇枪舌战 CH UN2 Q IANG1 SH E2 ZH AN4
掌声雷动 ZH ANG3 SH ENG1 L EI2 D ONG4
铁杆粉丝 T IE3 G AN3 F EN3 S IY1
魔兽争霸 M O2 SH OU4 ZH ENG1 B A4
冷战以后 L ENG3 ZH AN4 II I3 H OU4
功率输出 G ONG1 L V4 SH U1 CH U1
严重关切 II IAN2 ZH ONG4 G UAN1 Q IE4
万水千山 UU UAN4 SH UI3 Q IAN1 SH AN1
妙语如珠 M IAO4 VV V3 R U2 ZH U1
半梦半醒 B AN4 M ENG4 B AN4 X ING3
肥马轻裘 F EI2 M A3 Q ING1 Q IU2
责任事故 Z E2 R EN4 SH IX4 G U4
抽油烟机 CH OU1 II IU2 II IAN1 J I1
有利可图 II IU3 L I4 K E3 T U2
书面许可 SH U1 M IAN4 X V3 K E3
跃跃欲试 VV VE4 VV VE4 VV V4 SH IX4
余音绕梁 VV V2 II IN1 R AO4 L IANG2
半工半读 B AN4 G ONG1 B AN4 D U2
犯罪行为 F AN4 Z UI4 X ING2 UU UI2
严格隔离 II IAN2 G E2 G E2 L I2
哑口无言 II IA3 K OU3 UU U2 II IAN2
心惊肉跳 X IN1 J ING1 R OU4 T IAO4
稍安勿躁 SH AO1 AA AN1 UU U4 Z AO4
摩拳擦掌 M O2 Q VAN2 C A1 ZH ANG3
历史久远 L I4 SH IX3 J IU3 VV VAN3
